"SCOPUS_ID","EID","Title","Authors","Author IDs","Author Affiliations","Creators","Publication Name","eISSN","Volume","Page Range","Cover Date","DOI","Cited By Count","Aggregation Type","Subtype","Subtype Description","Source ID","Open Access","URL","Abstract","Subject Classification","Affiliation Names","Affiliation Cities","Affiliation Countries"
"85219095101","2-s2.0-85219095101","Bayesian double group sampling plan for assessing the average number of nonconforming products in manufacturing: a Poisson-Gamma distribution approach","Hafeez W., Wu S., Aziz N., Abbas Z., Imran M.","57213198616, 59660375900, 55670543800, 56352223900, 57440614700","60104687, 60104687; 60002763, 60002763, 60021200, 60025345","Hafeez W.","Scientific Reports","20452322","15","N/A","2025-12-01","10.1038/s41598-025-89740-4","0","Journal","ar","Article","21100200805","1","https://api.elsevier.com/content/abstract/scopus_id/85219095101","To succeed in the global market, firms must prioritize quality over individual goals and preferences. Acceptance sampling is one of the two primary approaches for ensuring quality, which is used in statistical process control for attributes inspection of the product. In acceptance sampling based on predetermined acceptance criteria for inspection the lot is either accepted or not accepted. This research introduces a Bayesian double group sampling plan (BDGSP) for estimating average number of nonconforming products. Based on acceptance criteria the Poisson distribution is used to construct the likelihood function for both nonconforming and conforming products. To calculate the average probability of acceptance, the gamma distribution is used as a suitable prior distribution of the Poisson distribution. For various suggested producer’s and consumer’s risk levels four distinct quality regions are calculated. The producer’s risk is related to acceptable quality level and consumer’s risk is related to and limiting quality level. Operating characteristic curves are utilized to track the effects of changes in the values of the specified parameters. The applicability of the proposed plan for current industrial strategies is demonstrated using a real dataset.","Multidisciplinary","Guangdong University of Petrochemical Technology","Maoming","China"
"85219037234","2-s2.0-85219037234","Analyzing the trend of government support for cloud computing usage in e-government architecture","Younus M., Purnomo E.P., Nurmandi A., Mutiarin D., Manaf H.A., Mumtaz F., Khairunnisa T.","58499548400, 56630214700, 35731998300, 57205325402, 55565189500, 59188599900, 57772677000","60104457; 112867149, 60104457, 60104457, 60104457, 60002763, 60104457, 60104457","Younus M.","Journal of Cloud Computing","2192113X","14","N/A","2025-12-01","10.1186/s13677-025-00735-y","1","Journal","ar","Article","21100383744","1","https://api.elsevier.com/content/abstract/scopus_id/85219037234","The revolution in improving services to the community carried out by the current government is genuine. It is not easy for government organizations, especially local governments, to directly implement e-government services in full. One solution that is considered appropriate and can solve these problems is the application of cloud computing to support e-government services in local governments. The advantage of cloud computing for e-government is that it can increase security. In contrast, cloud-based storage can be valuable because data stored in cloud computing is guaranteed secure and various regulations and standards of information safety practices. We propose a systematic literature review approach to analyze trends in studies on cloud computing of e-government. This research is a type of descriptive qualitative research using a bibliometric approach. To assess the trend of cloud computing in e-government, we use CiteSpace’s latest bibliometric software to achieve a comprehensive knowledge overview of cloud computing in e-government. The Findings of this paper reveal a dynamic scenario influenced by advancing technological progress and administrative priorities. Across the globe, governments are progressively acknowledging the capacity of cloud computing to improve the effectiveness, accessibility, and scalability of e-government services. Overall, challenges persist, spanning from concerns regarding data safekeeping and privacy, but it also signifies a strategic transition towards harnessing digital technologies to provide more agile, citizen-focused public services.","Software, Computer Networks and Communications","Universitas Muhammadiyah Yogyakarta | TPL Logistics Pvt Ltd","Yogyakarta | Karachi","Indonesia | Pakistan"
"85215352453","2-s2.0-85215352453","Colors of the mind: a meta-analysis of creative arts therapy as an approach for post-traumatic stress disorder intervention","Wang J., Zhang B., Yahaya R., Abdullah A.B.","58932564700, 59140857300, 57202195149, 57951504000","60002763, 60002763; 128233955, 60002763; 60103919, 60002763","Wang J.","BMC Psychology","20507283","13","N/A","2025-12-01","10.1186/s40359-025-02361-4","0","Journal","re","Review","21100464683","1","https://api.elsevier.com/content/abstract/scopus_id/85215352453","Background: In clinical practice, creative arts therapy is frequently utilized for the treatment of traumatized adults, with reports of favorable outcomes. However, the effectiveness of this intervention in post-traumatic stress disorder (PTSD) treatment has not yet been definitively established through meta-analysis. In this meta-analysis, we aim to assess the effectiveness of creative arts therapy in the management of PTSD. Methods: We conducted systematic literature searches through electronic databases from the extended inception of each database to November 2023. We utilized the Cochrane risk of bias tool to evaluate the quality of evidence. Standardized mean differences (SMDs) were calculated as the effects of creative art therapy on the improvement of PTSD. Results: Seven controlled, comparative studies investigated the use of creative arts therapy in treating adults with PTSD. Meta-analysis demonstrated a significant decrease in PTSD symptoms following creative arts therapy (SMD = -1.98, 95% Confidence Interval (CI): -3.8 to -0.16, p < 0.03, I2 = 98%). Subgroup analysis indicates that drama therapy was notably effective, while music, art, and dance/movement therapies exhibited less pronounced effects. Conclusion: Despite the limitations, including a limited number of studies, participant size, study heterogeneity, and methodological quality, these results provide valuable understanding regarding the efficacy of creative arts therapies in treating PTSD and highlight the urgent need for additional research in this area.","Psychology (all)","Universiti Utara Malaysia","Sintok","Malaysia"
"85213447952","2-s2.0-85213447952","A SWMR Algorithm Approach for the Vendor Managed Inventory Problem when Static Demand Rates","Abdul Rahim M.K.I., Bolaji B.H., Razalli M.R., Nawi M.N.M., Harahap A.Z.M.K., Ahmad A.N.A.","55355662200, 58866832700, 57191201677, 55211244500, 57200165064, 57200987500","60212344, 60105046, 60212344, 60212344, 60004351, 60090656","Abdul Rahim M.K.I.","Journal of Advanced Research in Applied Sciences and Engineering Technology","24621943","54","109-122","2025-12-01","10.37934/araset.54.1.109122","1","Journal","ar","Article","21101119543","1","https://api.elsevier.com/content/abstract/scopus_id/85213447952","In a two-phase supply chain with Vendor Managed Inventory (VMI) policies, the supplier takes on the duty of keeping its retailers' inventory up to date and making sure they never run out of stock. This is in addition to his inbound inventory. This study aims to combine the retailers in various set partitions or to maximize their distribution and inventory holding costs within the same set partition. This paper focuses on a two-stage supply chain made of a single warehouse and multiple retailers (SWMR) facing a static demand and implementing VMI. We proposed a model for coordinating the system with a two-phase solution method. The first phase is to minimize the overall inventory costs and, in the second phase, a constructive vehicle routing problem (VRP) heuristic is used to optimize the distribution costs by satisfying some additional restrictions. Results of this implementation of VMI in an illustrative supply chain case are shown and discussed in detail.","Multidisciplinary","College of Business, Universiti Utara Malaysia","Sintok","Malaysia"
"85209664656","2-s2.0-85209664656","Industry 4.0 technologies and international performance of SMEs: mediated-moderated perspectives","Rehman S.U., Jabeen F., Shahzad K., Riaz A., Bhatti A.","59491770700, 56278846200, 57274053600, 57658234600, 57214599675","60000937, 60074315; 60107783, 60108808, 60070615, 60212344","Rehman S.U.","International Entrepreneurship and Management Journal","15551938","21","N/A","2025-12-01","10.1007/s11365-024-01048-3","4","Journal","ar","Article","4700152631","0","https://api.elsevier.com/content/abstract/scopus_id/85209664656","Industry 4.0 techniques play a crucial role in an organizations success. This study uses dynamic capabilities theory and institutional theory to examine the association between industry 4.0 technologies and the international performance of small and medium enterprises (SMEs) with the mediating role of ambidextrous dynamic capabilities. Environmental dynamism and competitiveness are moderators between ambidextrous dynamic capabilities and SMEs international performance. Data was collected from 301 Malaysian exporting SMEs, and the Malaysia External Trade Development Corporation directory was used for the sampling frame. Partial Least Square Structural Equation Modeling is followed, and multiple regression is used for hypothesis testing. Industry 4.0 technologies, apart from machine learning, significantly influence SMEs international performance. Industry 4.0 technologies are positively related to ambidextrous dynamic capabilities. Ambidextrous dynamic capabilities significantly mediate between industry 4.0 technologies and SMEs international performance. Finally, environmental dynamism and environmental competitiveness strengthen the positive relationship between ambidextrous dynamic capabilities and SMEs international performance. This study has managerial implications, such as if the management wants to enhance SMEs international performance in their organizations, then there is a need to concentrate on Industry 4.0 technologies, ambidextrous dynamic capabilities, environmental dynamism, and environmental competitiveness. This initial study determines SMEs international performance through industry 4.0 technologies, ambidextrous dynamic capabilities, environmental dynamism, and environmental competitiveness in light of dynamic capabilities theory and institutional theory.","Management Information Systems, Management of Technology and Innovation","Shenzhen University","Shenzhen","China"
"105004676395","2-s2.0-105004676395","Exploring the influence of information and communication technology, national leadership and educational quality on educational tourism demand","TANG C.F., TAN B.W., SUKSONGHONG K.","23010763400, 36601391300, 56033585500","60000906, 60002763, 60009116","TANG C.F.","Humanities and Social Sciences Communications","26629992","12","N/A","2025-12-01","10.1057/s41599-025-04935-4","0","Journal","ar","Article","21101018925","1","https://api.elsevier.com/content/abstract/scopus_id/105004676395","This study explores the role of information and communication technology (ICT) development, educational quality, and national leadership in explaining the behaviour of inbound educational tourism in Malaysia. The panel data from 2002 to 2019 across 149 countries that supply educational tourists to Malaysia for higher education were employed, and the censored (Tobit) panel regression analysis was executed in the analysis to strengthen the robustness of estimation results. Unlike the conventional expectation, the findings show that income has a non-linear quadratic relationship with educational tourism demand, whereas ICT infrastructure, educational quality and leadership quality have a positive effect on educational tourism. Besides, the impact of educational quality on tourism demand is moderated by ICT infrastructure and national leadership quality. The findings demonstrate that the impact of ICT infrastructure on the need for educational travel is also moderated by national leadership. Therefore, ICT infrastructure development, educational quality and national leadership are intertwined in influencing the choice of educational tourism destination. Several policies can be implemented to boost the educational tourism sector in Malaysia and thus stimulate economic growth.","Business, Management and Accounting (all), Arts and Humanities (all), Social Sciences (all), Psychology (all), Economics, Econometrics and Finance (all)","Universiti Sains Malaysia","Minden","Malaysia"
"105003948217","2-s2.0-105003948217","The application and optimization of style transfer neural network based on deep learning in fashion design","Pan H., Idzwan bin Ismail A., Alwi A., Mahmuddin M.","57218098465, 59761829900, 35226324400, 37081503400","60002763; 60264281, 60002763, 60002763, 60002763","Pan H.","Systems and Soft Computing","27729419","7","N/A","2025-12-01","10.1016/j.sasc.2025.200277","0","Journal","ar","Article","21101091183","1","https://api.elsevier.com/content/abstract/scopus_id/105003948217","Introduction: With the rapid advancement of deep learning technologies, style transfer networks have demonstrated significant potential in the fields of image processing and creative design. Particularly in the realm of fashion design, style transfer techniques offer designers innovative tools to automatically generate diverse style designs, thereby enhancing creativity and diversity. However, existing style transfer methods still face challenges in balancing content preservation and style representation, as well as in computational efficiency. This study aims to explore a Neural Style Transfer (NST)-based model for fashion style transfer to address these issues and improve the efficiency and quality of fashion design. Methodology: The proposed network architecture consists of three convolutional layers and one deconvolutional layer, designed to efficiently extract and integrate spatial features of fashion elements. Subsequently, the Visual Geometry Group (VGG)-Garment network architecture is employed for feature extraction and style fusion, with optimization algorithms generating high-quality fashion design images. Additionally, by introducing four semantic loss functions—content loss, style loss, color loss, and contour loss—the model ensures the preservation of the original design content while flexibly incorporating other visual styles. Results: The experimental results demonstrate the following: (1) The proposed model excels in both style transfer effectiveness and computational efficiency. The style retention rate ranges from 82.11 % to 88.54 %. The content retention rate falls between 87.90 % and 92.56 %. These results indicate that the model effectively integrates diverse style elements while preserving the original design. (2) The proposed method outperforms three other models in terms of Peak Signal-to-Noise Ratio (PSNR) across all six fashion styles. Notably, in the ""luxury"" style, the PSNR value of the proposed method reaches 32.01, significantly higher than that of other models. (3) In terms of computational efficiency, the model generates a style-transferred fashion design image in an average of 15.23 s. The storage footprint is 251.45 MB, and the computational resource utilization rate is 60.78 %. These results show a significant improvement over traditional method. Discussion: This study makes a significant contribution by proposing a model that enhances visual effects and design diversity. Additionally, it outperforms traditional methods in computational efficiency and resource utilization. This model provides a novel technical approach for the fashion design industry, effectively reducing design costs and enhancing the overall efficiency of the design process.","Software, Theoretical Computer Science, Computer Science Applications, Computational Theory and Mathematics","Xichang University | Universiti Utara Malaysia","Xichang | Sintok","China | Malaysia"
"105003243906","2-s2.0-105003243906","Blockchain technology adoption in healthcare: an integrated model","Bazel M.A., Mohammed F., Ahmad M., Baarimah A.O., Al Maskari T.","57205027842, 57202238579, 55456467900, 57199323614, 57224355008","60072795, 60107208, 60002763, 60118530, 60118530","Bazel M.A.","Scientific Reports","20452322","15","N/A","2025-12-01","10.1038/s41598-025-95253-x","0","Journal","ar","Article","21100200805","1","https://api.elsevier.com/content/abstract/scopus_id/105003243906","Blockchain technology has gained significant attention in several sectors owing to its distributed ledger, decentralized nature, and cryptographic security. Despite its potential to reform the healthcare industry by providing a unified and secure system for health records, blockchain adoption remains limited. This study aimed to identify the factors influencing the intention to adopt blockchain in healthcare by focusing on healthcare providers. A theoretical model is proposed by integrating the Technological-Organizational-Environmental framework, Fit-Viability Model, and institutional theory. A quantitative approach was adopted and data were collected through an online survey of 199 hospitals to evaluate the model. The collected data were analysed using PLS-SEM. The results indicated that technology trust, information transparency, disintermediation, cost-effectiveness, top management support, organizational readiness, partner readiness, technology vendor support, fit, and viability significantly and positively influenced the intention to adopt blockchain-based Health Information Systems in hospitals. Conversely, coercive pressure from the government negatively affects adoption decisions. Moreover, the study found that the hospital ownership type did not moderate the relationship between the identified factors and blockchain adoption. This study provides valuable insights into the various factors that influence blockchain adoption in hospitals. The developed model offers guidelines for hospitals, blockchain providers, governments, and policymakers to devise strategies that promote implementation and encourage widespread adoption of blockchain in healthcare organizations.","Multidisciplinary","Taiz University","Taiz","Yemen"
"105003020758","2-s2.0-105003020758","Compassion fatigue in helping professions: a scoping literature review","Noor A.M., Suryana D., Kamarudin E.M.E., Naidu N.B.M., Kamsani S.R., Govindasamy P.","58521787200, 57211229486, 57216434411, 57219297297, 56568277300, 56764179300","60103633, 60103797, 60025577, 60103633, 60002763, 60103633","Noor A.M.","BMC Psychology","20507283","13","N/A","2025-12-01","10.1186/s40359-024-01869-5","0","Journal","re","Review","21100464683","1","https://api.elsevier.com/content/abstract/scopus_id/105003020758","Background: Generalizing the concept of compassion fatigue across healthcare settings or professions is difficult because compassion fatigue is a complex and abstract concept. Compassion fatigue is described as a result in the form of behaviors and emotions resulting from learning of another person's traumatic event. Compassion fatigue is considered a 'cost of caring.' This study was a scoping literature review that aimed to identify what is known about compassion fatigue in helping professions. Methods: A systematic search was conducted on electronic databases, namely ScienceDirect, PubMed, and Taylor and Francis. Data analysis was conducted using PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses). Study results were mapped based on the following criteria: 1) conceptual analysis; 2) predictor factors; and 3) research progress. A total of 43 articles met the inclusion and eligibility criteria for further review in this scoping literature review. Results: The results showed that it is difficult to imagine how a conceptual model of compassion fatigue could be equally relevant and applicable to various helping professions. Factors that can influence compassion fatigue are divided into personal factors (professional factors and sociodemographic factors), such as resilience, burnout, moral courage, emotional control, mindfulness, work experience, professional competence, and professional efficacy, and work-related factors such as traumatic experiences, life disorders, number of patients treated, job satisfaction, emotional support, social support, and fluctuations in interactions with suffering patients. Research on compassion fatigue has developed a lot, especially in the health sector, especially nursing using experimental, cross-sectional, and literature review research methods. Conclusion: Further analysis is needed in developing a conceptual analysis of compassion fatigue that focuses on other fields of work more specifically and comprehensively by paying attention to, aspects, determinants, and validity of compassion fatigue symptoms.","Psychology (all)","Universiti Pendidikan Sultan Idris","Tanjong Malim","Malaysia"
"105002765037","2-s2.0-105002765037","The roles of stakeholders in supply chain sustainability challenges: the case of coffee chain in West Java Province, Indonesia","Nuraisyah A., Wulandari E., Indrawan D., Othman Z.","57193921532, 57193310070, 57202032071, 35186433000","60069388; 60069381, 60069388, 60069381, 60212344","Nuraisyah A.","Discover Sustainability","26629984","6","N/A","2025-12-01","10.1007/s43621-025-01004-3","0","Journal","ar","Article","21101138720","1","https://api.elsevier.com/content/abstract/scopus_id/105002765037","This study explores the roles and interactions of stakeholders within the coffee supply chain across several districts in West Java, including Bandung, Garut, Ciamis, Tasikmalaya, and Bogor. Utilizing the MICMAC and Interpretive Structural Modeling (ISM) This analysis focuses on coffee farmers, cooperatives, agricultural extension workers, financial institutions, universities, and agricultural agencies. The research identifies key factors influencing the sustainability and efficiency of the supply chain, such as extreme weather, environmental risks, inconsistent raw material quality, suboptimal processing practices, delays in raw material delivery, dependence on single suppliers, price fluctuations, government regulations, production failures, and technological limitations in processing. The findings highlight the challenges faced by farmers, including production risks and market instability, while cooperatives facilitate market access and training but are constrained by price volatility and limited financial resources. Agricultural extension workers support knowledge transfer and sustainable practices; financial institutions provide risk-based financing; universities contribute technological innovation; and agricultural agencies maintain quality standards. By integrating MICMAC and ISM methods, this study maps the hierarchical relationships between these factors and their interdependencies, offering a structured framework for prioritizing interventions. The research underscores the importance of collaborative efforts among stakeholders to strengthen farmer capacities, manage risks, and drive innovation. Strategies such as adopting blockchain for supply chain transparency, product diversification, and flexible financing models are identified as critical to enhancing the resilience, sustainability, and global competitiveness of the coffee supply chain in West Java.","Geography, Planning and Development, Renewable Energy, Sustainability and the Environment, Environmental Science (miscellaneous), Energy (miscellaneous)","Universitas Padjadjaran | IPB University","Bandung | Bogor","Indonesia | Indonesia"
